id,title,content,date,created_at,updated_at,link,organizer,typesite,typeid
89,Load Testing / cfObjective Recap,"<p>Thursday Dan will present his load balance preso that we postponed from an earlier session.</p>
<p>If you went to cfObjective please try and attend and you can give us your 'best of' recap.</p>
<p>We'll also plan out the next few meetings for our app. NCDevCon is right around the corner!</p>",2013-06-20,2013-06-17 22:48:27.618877,2013-06-17 22:48:27.618877,http://www.meetup.com/Triangle-Area-ColdFusion-Users-Group/events/125077232/,Triangle Area ColdFusion Users Group,,
11,TA3M,"<p>You are invited to join Techno-Activism Third Mondays (TA3M)! TA3M is an informal meetup for techno-activists, hacktivists and anyone interested in free and open technology. The event takes place in different cities around the globe the third Monday of every month.</p>
<p>Durham will be hosting its first on June 17th, at Splat Space.</p>
<p>Program: We'll be gauging interest, and discussing any or all of the topics listed here: <a class=""linkified"" href=""http://wiki.openitp.org/ta3m:external_links"">http://wiki.openitp.org/ta3m:external_links</a> . This will be our first event in Durham! Come help us determine the direction of this local version of TA3M!!</p>",2013-06-17,2013-06-13 02:49:08.70244,2013-06-13 02:49:08.70244,http://www.meetup.com/splatspace/events/121669002/,Splat Space - Durham's Hackerspace,,
12,Specialized Access Applicaions,"<p>Mark Edwards will be demonstrating some specialized Access applications that can zip files and upload them to ftp/web sites, and remove external links and/or formulas so that the application can “publish” the workbook as an un-linked, static workbook. This can be useful for sending complex, “scrubbed” workbooks to other folks.</p>",2013-06-18,2013-06-13 02:49:08.70946,2013-06-13 02:49:08.70946,http://www.meetup.com/Triangle-Microsoft-Office-Users-Group-TriMOUG/events/123995172/,Triangle Microsoft Office Users Group (TriMOUG),,
13,West End Ruby Hack Night,<p>Please join us for West End Ruby Hack Night. We encourage new Rubyists to come out and bring us your questions. There is usually a good mix of experienced Rubyists in attendance and willing to help. Hope to see you there!</p>,2013-06-18,2013-06-13 02:49:08.716485,2013-06-13 02:49:08.716485,http://www.meetup.com/raleighrb/events/120064242/,The Triangle Ruby Brigade (Triangle.rb),,
14,Triangle SQL Server User Group Meeting,"<p style=""text-align : center""><span style=""font-size : large""><strong>SQL Troubleshooting using PSSDIAG and SQL Nexus</strong></span></p>
<p>Have you ever wondered what kind of magic goes on behind the scenes when a Microsoft engineer collects a pssdiag?  In this session I’ll show you how you can use public tools to create your own pssdiag captures for your environment and how you can use SQL Nexus to upload and analyze the data.  All of the tools I use are publicly available.  I show you the exact steps I take and will share all of the configurations I’ve created so that you can use them in your environment.  The topics I introduce in this talk will go a long way for developing your own SQL Server troubleshooting techniques.</p>
<p><strong><span>SPEAKER</span></strong></p>
<p>Tim Chapman has over a decade of database design and administration experience and has the MCITP certification for Database Administration and Development. For the past 3 years, Tim has been awarded the Microsoft MVP award for his contributions to the SQL community. Tim works at Microsoft as a Dedicated Premier Field Engineer.</p>
<p><strong><span>AGENDA</span></strong></p>
<p>6:30PM - 6:45PM - Meet, Greet and Eat - Thank you to our sponsor TEK Systems  <br />

6:45PM - 6:50PM - Meeting Announcements  <br />

6:50PM - 8:15PM - Presentation  <br />

8:15PM - 8:30PM - Q &amp; A and Wrapup</p>
<p> </p>",2013-06-18,2013-06-13 02:49:08.722857,2013-06-13 02:49:08.722857,http://www.meetup.com/tripass/events/123475762/,Triangle SQL Server User Group,,
15,Data sig:Graph Database and Neo4J - Steve Suing,"<p>Presenter: Steven Suing</p>
<p>There are many subsets of document databases and one of them is a Graph Database. Come learn what a graph database is and when you would use one. We’ll walk though setting up Neo4j and then using C# Client to build an application with it.</p>
<p>Bio: Steven Suing a Practice Manager for the Raleigh office of Applied Information Sciences. He is also a systems designer on a mainframe modernization project for a 10 billion dollar insurance company. Current technical interests include REST, Messaging patterns, and polyglot database solutions.</p>",2013-06-19,2013-06-13 02:49:08.7306,2013-06-13 02:49:08.7306,http://www.meetup.com/TriNUG/events/124270202/,Triangle .NET User Group,,
16,"DevDroid Weekly Meetup - Greetings & Intros, Hacking (BYOPC,BYOM)","<p>**** LOCATION UPDATE **** <br />

 **** NEW LOCATION: ROYAL BEAN, WED 19 JUN 2013 *** <br />

 **** TIME: 6:30PM to 8:30PM ****</p>
<p>DevDroid members, <br />

 <br />

 We have confirmed the Royal Bean Coffee House for the June 3rd Wednesday Monthly Regular DevDroid meeting. They have plenty of sofas and tables with power and wi-fi. Lots of free parking. <br />

 <br />

 Royal Bean Coffee House <br />

 3801-137 Hillsborough Street <br />

 Raleigh, NC 27607 <br />

 <br />

 Hours: <br />

 Monday-Thursday: 7am-9pm (summer hours) <br />

 Fridays: 7am-10pm (summer hours) <br />

 Saturday: 8am-11pm <br />

 Sunday: 8am-10pm (summer hours) <br />

 (919) 834-2326 <br />

 <br />

 The theme for the meetup is hello, hacking.</p>",2013-06-19,2013-06-13 02:49:08.737018,2013-06-13 02:49:08.737018,http://www.meetup.com/DevDroid/events/115897812/,Dev Droid - Triangle Android Developers,,
17,Learn How Wayin Does Cloud Orchestration,"<p>Hey Everyone,</p>
<p><span>Our next talk is set and comes to us from Dave Johnson. He'll be talking about how <a href=""http://www.wayin.com/"">Wayin</a> does cloud orchestration and makes heavy use of Amazon's cloud infrastructure.</span></p>
<p>For this talk we'll be back at <a href=""http://argylesocial.com/"">Argyle Social</a> in downtown Durham. Pizza will be provided. A reminder that you can park in the deck at the end of Rigsbee Ave. and it will be free, since they stop collecting money so long as you leave after 7.</p>
<p>We're also inviting our friends from the Triangle AWS meetup to join us, since that group is run by Argyle Social and Dave's talk is going to focus a lot on Amazon's services.</p>
<p>I look forward to seeing everyone at the talk.</p>
<p>- Mark</p>
<p> </p>
<p><span>More details on the talk and on Dave's background:</span></p>
<p><span> <br />

Wayin offers products that organizations use to engage with their customers, constituents and fans via Twitter and other social networks. These products are web-based, designed to serve large numbers of users and to handle large spikes in traffic associated with sports, entertainment, conferences and other events.  <br />

 Dave's talk will cover cloud orchestration, cloud orchestration benefits in general and the specifics of how Wayin uses cloud orchestration to run the Wayin Hub, a Twitter micro-site assembly service. He'll explain how Wayin designs software, sets-up AWS infrastructure, deploys applications and scales-up and down to meet changing workloads automatically via Amazon's Cloud Formation orchestration service. The talk will cover a wide-range of AWS services including EC2, EBS, Route53, S3, SQS, CloudWatch and more.</span></p>
<p><span>Dave Johnson (@snoopdave) is a software developer and Triangle-native who has worked locally for Sun, IBM, SAS and now works for Denver-based startup Wayin, Inc. Dave developed the Apache Roller blog server, wrote a book on RSS and Atom and lead the effort to define the Open Services for Lifecycle Collaboration (OSLC) Core specification. At Wayin, Dave focuses primarily on ""back-end"" concerns including REST APIs, persistence, scalability and DevOps.</span></p>",2013-06-19,2013-06-13 02:49:08.743319,2013-06-13 02:49:08.743319,http://www.meetup.com/Triangle-DevOps/events/121662952/,Triangle DevOps,,
18,IGDA Triangle June Student Chapter Meeting,"<p>Monthly student meeting is being held at the same location as this month's Professionals meeting, Wake Tech Millpond Campus in Cary, NC.</p>
<p>From the Facebook event page: <br />

 <a href=""https://www.facebook.com/events/589114051129375/"" class=""linkified"">https://www.facebook.com/events/589114051129375/</a> <br />

 ---</p>
<p>Join us for the fifth meeting of the IGDA NC-Triangle Student Chapter! The meeting will be held at Wake Tech's Rotunda Room, at the Millpond/Cary campus. The physical address is 3434 Kildaire Farm Rd., Cary, North Carolina 27518</p>
<p>The Student Chapter meeting will once again provide a space for all our members to get together and make games.</p>
<p>Both NC-Triangle IGDA Professional and Student members are encouraged to attend.</p>
<p>- Parking Details - <br />

 Parking in the surrounding areas of the Rotunda Room should be available at this hour of the evening. <br />

 ---</p>",2013-06-19,2013-06-13 02:49:08.750848,2013-06-13 02:49:08.750848,http://www.meetup.com/gamedev-176/events/123616852/,Triangle Game Development Meetup,,
19,Seven Keys to Navigating Your Agile Testing Transition - Part 2,"<p>So you’ve “gone agile” and have been relatively successful for a year or so. But how do you know how well you’re really doing? And how do you continuously improve your practices? And when things get rocky, how do you handle the challenges and not revert to old habits? You realize that the path to high-performance agile testing isn’t easy or quick. It also helps to have a guide.</p>
<p>Join seasoned agile testing coaches Bob Galen and Mary Thorn as they share lessons from their most successful agile testing transitions.</p>
<p> </p>
<p><strong>Bob Galen</strong> is an agile coach at RGalen Consulting and director of agile solutions at Zenergy Technologies, a North Carolina-based firm specializing in agile testing and leading agile adoption initiatives. Bob regularly speaks at international conferences and professional groups on topics related to software development, project management, software testing, and team leadership. He is a Certified Scrum Master Practicing, Certified Scrum Product Owner, and an active member of the Agile Alliance and Scrum Alliance. Bob published <em>Scrum Product Ownership–Balancing Value from the Inside Out</em>, which addresses the gap in guidance toward effective agile product management. Contact Bob at <a href=""mailto:bob@rgalen.com"">bob@rgalen.com</a> or <a href=""mailto:bob.galen@zenergytechnologies.com"">bob.galen@zenergytechnologies.com</a></p>
<p>Mary Thorn is a VP of QA at Deutsche Bank Global Technologies in Cary, NC, and has a broad testing background that spans automation, data warehouses, and web-based systems in a wide variety of technologies and testing techniques. During her more than fifteen years of experience in healthcare, HR, agriculture, and SaaS-based products, Mary has held manager and contributor level positions in software development organizations. She has a strong interest in agile testing methodologies and direct experience leading agile teams through Scrum adoption &amp; beyond.</p>",2013-06-20,2013-06-13 02:49:08.757788,2013-06-13 02:49:08.757788,http://www.meetup.com/softwaredev-117/events/106512932/,TISQA,,
20,Triangle Analysts Meetup (R Hackathon: Running R on the Amazon Cloud),"<p>Hi Triangle useRs, <br />

 <br />

Our next meetup will be on <strong>Thursday, June 20 at 6:30pm</strong> at <br />

<span><strong>Saladelia Cafe</strong> <br />

4201 University Dr <br />

Durham NC 27707 <br />

</span><span>(<a href=""http://www.saladelia.com/directions/"">http://www.saladelia.com/directions/</a>) <br />

 <br />

I will be hosting a presentation and hackathon on how to use R on Amazon</span> <span>EC2 (Elastic Compute Cloud).  Using Amazon EC2, you can crunch massive data on servers with high RAM and CPU without paying for the hardware.  <span style=""text-decoration : underline""><strong>Bring your laptop</strong></span> to set up your own free Amazon EC2 instance and to participate in an R programming exercise on Amazon EC2.  You don't need any prior knowledge of Amazon EC2 to participate. <br />

 <br />

<span>Thanks to Melinda Thielbar and Michelle Black for working the meeting logistics.  Thanks to Michael Blanks and Ujval Kamath who will be at the meetup to offer one-on-one help to participants during the hackathon. <br />

 <br />

</span>See you on the 20th.</span> <br />

<span> <br />

Thanks, <br />

Ian</span></p>",2013-06-20,2013-06-13 02:49:08.764715,2013-06-13 02:49:08.764715,http://www.meetup.com/Triangle-useR/events/122682032/,Raleigh-Durham-Chapel Hill R Users Group,,
21,PHP @ TEKsystems - Composer,"<p><strong>Jason Grimes will be giving a talk about Composer.  More details to come.</strong></p>
<p><span>TEKsystems will provide pizza and drinks.  Doors open at 6:45, Presentation at 7pm</span></p>
<p> </p>
<p><span style=""text-decoration : underline"">Meetup Location Information For TEKsystems</span></p>
<p>1201 Edwards Mill Rd, Suite 201 <br />

 Raleigh, NC 27607</p>
<ul>
<li>It is on the corner of Edwards Mill and Trinity</li>
<li>The office building is called Trinity Place</li>
<li>Take elevator to second floor and go left</li>
<li>You will enter TEKsystems and the room is to the left, all the way to the back on the right</li>
</ul>
<p>There should be some signs up to guide you, but if you have trouble finding us, you can contact Jason Austin (919-807-1708) or Bryan Pearson (757-744-9291) and we will help you out.</p>
<p> </p>",2013-06-20,2013-06-13 02:49:08.771648,2013-06-13 02:49:08.771648,http://www.meetup.com/trianglephp/events/117195442/,TrianglePHP,,
22,Let's meetup and learn about each other.,<p>The purpose of the meetup is to introduce you to a new model that is currently being presented to individuals that are on the inside of a great movement. This new model is called Incentivized Sharing which is a new concept that you will learn and share to other interested parties.</p>,2013-06-20,2013-06-13 02:49:08.777965,2013-06-13 02:49:08.777965,http://www.meetup.com/Wake-Forest-Incentivized-Sharing-Platform-Meetup/events/122467542/,Wake Forest Incentivized Sharing Platform Meetup,,
23,Bowling,<br />,2013-06-20,2013-06-13 02:49:08.784549,2013-06-13 02:49:08.784549,http://www.meetup.com/Raleigh-Nerd-Herd/events/121710182/,Raleigh Nerd Herd,,
24,"Movie + Dinner, TBA",<br />,2013-06-21,2013-06-13 02:49:08.792383,2013-06-13 02:49:08.792383,http://www.meetup.com/Raleigh-Nerd-Herd/events/121703682/,Raleigh Nerd Herd,,
25,Cary Brigade: June Meetup,"<p>Hello Hackers!</p>
<p>Let's gather our skills and start designing our ""What's this here?"" permit app.  Data from the Town containing permit information is located here: <a class=""linkified"" href=""http://ppl.ug/IDRHOnmHbfM/"">http://ppl.ug/IDRHOnmHbfM/</a></p>
<p>We're ready to take our next steps - begin designing and implementing.  We need to digest the data and first focus on putting this on a Google Map.  From here, let's discuss and design going mobile!</p>
<p>Light Refreshments will be provided - bring your computing platform.</p>
<p>Thanks to the <a href=""http://technologytank.org/"">Technology Tank</a> for getting this facility again for our meeting!</p>",2013-06-25,2013-06-13 02:49:08.800655,2013-06-13 02:49:08.800655,http://www.meetup.com/Triangle-Code-for-America/events/123058392/,Triangle Code for America,,
26,Introduction to Python,"<p>Curious about programming? Want to learn one language that you can use to build websites, program robots, visualize data, run servers, and make art? Then you're ready to get started with <a href=""http://python.org/"">Python</a>.</p>
<p>Python powers some of the most popular websites and apps we all know and love, like <a href=""http://pinterest.com/"" target=""_blank"">Pinterest</a>, <a href=""http://instagram.com/"" target=""_blank"">Instagram</a> and <a href=""http://www.rdio.com/"">Rdio</a>, to name a few. It's used by tech companies all over the world, including many companies right here in Triangle.</p>
<p>Join us for GDIRDU's first Introduction to Python class! During this 4-session class (see dates/times below) we'll explore the basic components of programming with Python: using the Python interactive shell, functions/loops/conditionals, data structures and object oriented and functional programming. We'll mix lecture and practice, and help guide you through the coursework.</p>
<p>We'll spend part of the workshop helping you set up a development environment, so there's no need to install software ahead of time. Just bring your laptop and come prepared to write your first lines of Python code.</p>
<p> </p>
<p><strong>Please note that this is a four part class. Session dates and lessons are:</strong></p>
<p><strong>Class 1, First steps for programming using the Python shell</strong> <br />

 Tuesday, June 25, 7:00-9:00 PM</p>
<p><strong>Class 2, Structured programming - Functions, loops, and conditionals</strong> <br />

 Tuesday, July 2, 7:00-9:00 PM</p>
<p><strong>Class 3, Python data structures and other essential built-ins</strong> <br />

 Tuesday, July 9, 7:00-9:00 PM</p>
<p><strong>Class 4, Higher level abstractions using object oriented and functional programming</strong> <br />

 Tuesday, July 16, 7:00-9:00 PM</p>
<p> </p>
<p>Please bring a laptop with a text editor and either Chrome or Firefox. If you do not have access to a laptop, or have any questions about selecting a text editor, please let me know.</p>
<p><strong>Refund policy:</strong> <span>Your payment of $80 guarantees your seat in the entire course. If something changes after registration and you cannot attend the course, you must notify us at least 3 days before the first class to receive a refund. If you have to miss a class, we will provide code from class and any slides, but we do not offer partial refunds based on individual class absences.</span></p>",2013-06-25,2013-06-13 02:49:08.807281,2013-06-13 02:49:08.807281,http://www.meetup.com/Girl-Develop-It-RDU/events/122999952/,Girl Develop It RDU,,
122,Lunch! Roundtable on Coursera,"<p>I know it's the day after the fourth of July, but it's also the first Friday of the month! Coursera is starting a new round of classes. Let's get together to discuss our interests, share past experiences with the courses, and why everyone's suddenly so MOOC-crazy.</p>
<p> </p>
<p>See you there!</p>",2013-07-05,2013-06-27 09:00:25.796286,2013-06-27 09:00:25.796286,http://www.meetup.com/Research-Triangle-Analysts/events/126558312/,Research Triangle Analysts,,
27,June: The Role of Test Engineers in Automation and the SDLC,"<p>This talk will explore the challenges and rewards of an unorthodox approach of inserting QA into the SDLC from the very beginning.  How can a QA focused development team increase efficiency and effectiveness by replacing the traditional practice of applying quality control after completing all development? <br />

 <br />

<span>Come explore the theoretical results of Software Development using Automation and QA to create a reliable process that can reduce the pain of technology debt and ineffective tests found in the traditional SDLC.</span></p>
<p> </p>
<p><strong>About the speaker:</strong> <br />

 <a href=""http://www.linkedin.com/profile/view?id=3690237"">Jason Malone</a> is a Team Lead of QA/Test Engineering at Bronto Software, Inc.  He is a Software Engineering professional with strengths in quality assurance, project management, business process analysis/re-engineering, and systems implementation.  His specialties include: QA Test Development and Process Planning, Software Testing and QA Best Practices, Software Development and Deployment, IT Services and Technology.</p>",2013-06-26,2013-06-13 02:49:08.814609,2013-06-13 02:49:08.814609,http://www.meetup.com/TriTAUG/events/121815852/,Triangle Testing and Automation User Group,,
28,Leverage 3 New Google+ Features For Your Brand,"<p><img src=""http://photos3.meetupstatic.com/photos/event/5/e/a/8/event_244104232.jpeg"" style=""max-height : 700px ; max-width : 700px ; margin : 5px ; float : left""></img></p>
<p> </p>
<p>Google+ recently made huge changes to thee layout and functionality of the platform. What does that mean to you and your business?</p>
<p> </p>
<p>Come grab lunch or join via Hangout on Air and find out!</p>",2013-06-27,2013-06-13 02:49:08.822085,2013-06-13 02:49:08.822085,http://www.meetup.com/RaleighGooglePlus/events/122912352/,"Triangle Google Plus HIRL - Raleigh, Cary, Durham - NC",,
29,Hack Night,"<p>This is a completely open, free-form, ""just show up with a laptop (or a friend with a laptop) and hack on some Ruby"" meeting. There's no agenda, and there's sure to be a great mix of coding and shooting the breeze about all things geeky, including our favorite language. Nathaniel will be showing up around 6 to grab something to eat and start hacking, and we'll do quick introductions around 6:30, but feel free to drop in whenever you can. See you there!</p>",2013-06-27,2013-06-13 02:49:08.828956,2013-06-13 02:49:08.828956,http://www.meetup.com/raleighrb/events/114798972/,The Triangle Ruby Brigade (Triangle.rb),,
30,Developers + Designers: Collaborating on your Open Source project,"<p>Julia Elman and Mark Lavin of Caktus Consulting Group will be giving their talk, 'Developers + Designers: Collaborating on your Open Source project'</p>
<p> <br />

 ""Working in teams is an important part of what we do as developers &amp; designers. Whether it's desktop applications or mobile sites, we work together to create successful end products. But how do we work together in different environments? What is the best work-flow for a mix of skill sets? We'll be talking about our various methods &amp; work-flows that we found successful in working collaboratively.""</p>
<p>An outline of the talk is available here: <span><a href=""http://www.oscon.com/oscon2013/public/schedule/detail/28590"">http://www.oscon.com/oscon2013/public/schedule/detail/28590</a></span></p>
<p> </p>
<p>We'll be meeting at the Graduate Student Center on UNC Chapel Hill's campus. Directions and parking info are here: <a href=""http://gradschool.unc.edu/pdf/DirectionstotheGraduateStudentCenter.pdf"" class=""linkified"">http://gradschool.unc.edu/pdf/DirectionstotheGraduateStudentCenter.pdf</a></p>
<p> </p>
<p>We'll also have food and beverages courtesy of  &lt;a href=""<a href=""http://www.caktusgroup.com/"" class=""linkified"">http://www.caktusgroup.com/</a>""&gt;Caktus Group&lt;/a&gt;!</p>",2013-06-27,2013-06-13 02:49:08.836157,2013-06-13 02:49:08.836157,http://www.meetup.com/refreshthetriangle/events/121806752/,Refresh the Triangle,,
541,Breaking Free of Your Growth Constraints- Entrepreneur Workshop,"In a March 2013 Forbes Magazine article it was stated that 9 out of 10 startups go out of business. There are many diverse reasons why good people with good ideas don’t translate into good businesses. The Accelerence management team has worked diligently over the last 25 years to distill these many reasons into 7 primary growth and success constraints. In the seminar we will introduce the constraints as well as the strategies and tactics that break you free from them. There will be particular emphasis on building out a world class selling capability. 

Recognizing the intrinsic challenge of the entrepreneur – achieving growth and breaking the barriers of scale with limited resources – we designed the session to provide actionable insight on those very issues.  The seminar will discuss the most common constraints to successfully building a business as well as strategies and tactics to break free from those constraints.  At this workshop attendees will:
•	Use Accelerence diagnostics to identify your specific growth challenges
•	Delve into a well-honed model for building businesses that scale
•	Learn how to build out a world class selling capability
•	Leave with actionable insights they can put to work immediately

Workshop is at the NC Biotech Center 
8:30AM to 12:00 PM
Registration is required

Strictly Limited Seating to Ensure Quality Interaction
Priority is Provided to Current Entrepreneurs
Event Sold Out in Charlotte, NC!",2013-10-16,2013-10-08 13:55:22.655549,2013-10-08 13:55:22.655549,http://www.accelerence.eventbrite.com/,"Accelerence, LLC",,
